,name,link,company,salary_min,salary_max,currency,source
1825,Программист-математик,https://korolev.hh.ru/vacancy/30234738?query=python, Связной,NaN,NaN,NaN,hh.ru
1826,Database Administrator,https://korolev.hh.ru/vacancy/31753279?query=python," Five9, Inc., СА",NaN,NaN,NaN,hh.ru
1827,Инженер по виртуальной инфраструктуре,https://korolev.hh.ru/vacancy/36267802?query=python, ANCOR FinTech,NaN,NaN,NaN,hh.ru
1828,Инженер по виртуальной инфраструктуре,https://korolev.hh.ru/vacancy/36267803?query=python, ANCOR FinTech,NaN,NaN,NaN,hh.ru
1829,Инженер по виртуальной инфраструктуре,https://korolev.hh.ru/vacancy/36267804?query=python, ANCOR FinTech,NaN,NaN,NaN,hh.ru
1830,Инженер по виртуальной инфраструктуре,https://korolev.hh.ru/vacancy/36267805?query=python, ANCOR FinTech,NaN,NaN,NaN,hh.ru
1831,Инженер по виртуальной инфраструктуре,https://korolev.hh.ru/vacancy/36267806?query=python, ANCOR FinTech,NaN,NaN,NaN,hh.ru
1832,Инженер по виртуальной инфраструктуре,https://korolev.hh.ru/vacancy/36267807?query=python, ANCOR FinTech,NaN,NaN,NaN,hh.ru
1833,Team Lead,https://korolev.hh.ru/vacancy/37027899?query=python, NeuroCity™,NaN,NaN,NaN,hh.ru
1834,Linux System Administrator,https://korolev.hh.ru/vacancy/37025212?query=python, Netcracker Technology Corp.,NaN,NaN,NaN,hh.ru
1835,Главный аналитик-математик (Data Analyst / Data Scientist),https://korolev.hh.ru/vacancy/30250856?query=python, Связной,NaN,NaN,NaN,hh.ru
1836,Инженер группы пусконаладочных работ,https://korolev.hh.ru/vacancy/32845892?query=python,АО Воентелеком,,,,hh.ru
1837,Cloud/DevOps инженер,https://korolev.hh.ru/vacancy/26817514?query=python,ООО Актион Технологии,NaN,NaN,NaN,hh.ru
1838,Инженер по внедрению и тестированию ПО,https://korolev.hh.ru/vacancy/36700907?query=python,"ПАО МегаФон, IT",NaN,NaN,NaN,hh.ru
1839,Backend Developer,https://korolev.hh.ru/vacancy/36785450?query=python, BFG Group,NaN,NaN,NaN,hh.ru
1840,"Инженер по работе БД (Oracle, SQL)",https://korolev.hh.ru/vacancy/34418861?query=python,"ПАО МегаФон, IT",NaN,NaN,NaN,hh.ru
1841,Специалист группы сопровождения программных изделий,https://korolev.hh.ru/vacancy/35766656?query=python," Русские базовые информационные технологии, Научно-производственное объединение",45000,NaN,руб.,hh.ru
1842,Backend-разработчик,https://korolev.hh.ru/vacancy/37035820?query=python,ООО Ростелеком Информационные Технологии,NaN,NaN,NaN,hh.ru
