,name,link,company,salary_min,salary_max,currency,source
1178,Специалист по тестированию (г. Екатеринбург),https://korolev.hh.ru/vacancy/36973926?query=python, ANCOR FinTech,NaN,NaN,NaN,hh.ru
1179,Специалист по тестированию (г. Екатеринбург),https://korolev.hh.ru/vacancy/37004940?query=python, ANCOR FinTech,NaN,NaN,NaN,hh.ru
1180,QA Engineer (ручное тестирование),https://korolev.hh.ru/vacancy/35563481?query=python, Открытая Мобильная Платформа,NaN,NaN,NaN,hh.ru
1181,Web-программист - администратор сайта,https://korolev.hh.ru/vacancy/37037809?query=python,ООО Городской Психотерапевтический Центр Карповка-25,NaN,NaN,NaN,hh.ru
1182,Frontend/FullStack Developer (ReactJS/NodeJS),https://korolev.hh.ru/vacancy/37036149?query=python, IT_Selection,130000,180000,руб.,hh.ru
1183,Разработчик Python,https://korolev.hh.ru/vacancy/36724687?query=python, Лига Цифровой Экономики,NaN,NaN,NaN,hh.ru
1184,Стажер по нагрузочному тестированию ПО,https://korolev.hh.ru/vacancy/37028947?query=python, ЛАНИТ-ТЕХНОЛОГИИ,NaN,NaN,NaN,hh.ru
1185,Программист Python,https://korolev.hh.ru/vacancy/35924292?query=python,ООО Гарда Технологии,NaN,NaN,NaN,hh.ru
1186,Тестировщик ПО,https://korolev.hh.ru/vacancy/37020934?query=python, Итс,,,,hh.ru
1187,QA Engineer,https://korolev.hh.ru/vacancy/31629440?query=python, Emlid,NaN,NaN,NaN,hh.ru
1188,Python разработчик,https://korolev.hh.ru/vacancy/34322458?query=python, МойОфис,NaN,NaN,NaN,hh.ru
1189,Системный программист,https://korolev.hh.ru/vacancy/36569700?query=python, ГК «ХайТэк»,NaN,NaN,NaN,hh.ru
1190,Специалист по машинному обучению в области речевых технологий,https://korolev.hh.ru/vacancy/35556223?query=python,ООО Специальный Технологический Центр,100000,NaN,руб.,hh.ru
1191,Data Analyst,https://korolev.hh.ru/vacancy/36789920?query=python, Банк Открытие,NaN,NaN,NaN,hh.ru
1192,Разработчик драйверов Linux,https://korolev.hh.ru/vacancy/37038922?query=python, НТЦ Метротек,NaN,NaN,NaN,hh.ru
1193,Прикладной программист Linux (Junior),https://korolev.hh.ru/vacancy/37038926?query=python, НТЦ Метротек,,,,hh.ru
1194,Senior Java Developer,https://korolev.hh.ru/vacancy/36887098?query=python, Plesk,NaN,NaN,NaN,hh.ru
1195,Старший тестировщик (автоматизированное тестирование),https://korolev.hh.ru/vacancy/36108548?query=python, MANGO OFFICE,NaN,NaN,NaN,hh.ru
1196,QA Automation,https://korolev.hh.ru/vacancy/31923995?query=python, BANZAI.GAMES,NaN,NaN,NaN,hh.ru
1197,Ведущий программист Python,https://korolev.hh.ru/vacancy/37036202?query=python,ООО Тензор,160000,245000,руб.,hh.ru
1198,Java Developer,https://korolev.hh.ru/vacancy/35931717?query=python, NEOLAB,NaN,NaN,NaN,hh.ru
1199,DBA Engineer (PostreSQL),https://korolev.hh.ru/vacancy/37038202?query=python, Авито,NaN,NaN,NaN,hh.ru
1200,Senior / Lead Python Developer (Cyprus),https://korolev.hh.ru/vacancy/35220218?query=python, IBIT,260000,NaN,руб.,hh.ru
1201,Senior / Lead Python Developer (Cyprus),https://korolev.hh.ru/vacancy/35220224?query=python, IBIT,260000,NaN,руб.,hh.ru
1202,Senior / Lead Python Developer (Cyprus),https://korolev.hh.ru/vacancy/35220225?query=python, IBIT,260000,NaN,руб.,hh.ru
1203,Senior / Lead Python Developer (Cyprus),https://korolev.hh.ru/vacancy/35220226?query=python, IBIT,260000,NaN,руб.,hh.ru
1204,Senior / Lead Python Developer (Cyprus),https://korolev.hh.ru/vacancy/35220227?query=python, IBIT,260000,NaN,руб.,hh.ru
1205,Senior / Lead Python Developer (Cyprus),https://korolev.hh.ru/vacancy/35220228?query=python, IBIT,260000,NaN,руб.,hh.ru
1206,Senior / Lead Python Developer (Cyprus),https://korolev.hh.ru/vacancy/35220229?query=python, IBIT,260000,NaN,руб.,hh.ru
1207,Senior / Lead Python Developer (Cyprus),https://korolev.hh.ru/vacancy/35220230?query=python, IBIT,260000,NaN,руб.,hh.ru
1208,Senior / Lead Python Developer (Cyprus),https://korolev.hh.ru/vacancy/35220231?query=python, IBIT,260000,NaN,руб.,hh.ru
1209,Senior / Lead Python Developer (Cyprus),https://korolev.hh.ru/vacancy/35220232?query=python, IBIT,260000,NaN,руб.,hh.ru
1210,Senior / Lead Python Developer (Cyprus),https://korolev.hh.ru/vacancy/35220234?query=python, IBIT,260000,NaN,руб.,hh.ru
1211,Senior / Lead Python Developer (Cyprus),https://korolev.hh.ru/vacancy/35220235?query=python, IBIT,260000,NaN,руб.,hh.ru
1212,Senior / Lead Python Developer (Cyprus),https://korolev.hh.ru/vacancy/35220236?query=python, IBIT,260000,NaN,руб.,hh.ru
1213,Senior / Lead Python Developer (Cyprus),https://korolev.hh.ru/vacancy/35220244?query=python, IBIT,260000,NaN,руб.,hh.ru
1214,Senior / Lead Python Developer (Cyprus),https://korolev.hh.ru/vacancy/35220245?query=python, IBIT,260000,NaN,руб.,hh.ru
1215,Data Scientist,https://korolev.hh.ru/vacancy/37036204?query=python," «РОСБАНК, Societe Generale Group», с опытом работы",NaN,NaN,NaN,hh.ru
1216,Тестировщик ПО,https://korolev.hh.ru/vacancy/37035287?query=python,ТОО Kazdream Technologies,NaN,NaN,NaN,hh.ru
1217,CG программист (Python/C++),https://korolev.hh.ru/vacancy/26680990?query=python, Группа компаний «Триумф»,NaN,NaN,NaN,hh.ru
1218,Ведущий тестировщик,https://korolev.hh.ru/vacancy/35317561?query=python, СОГАЗ: г. Москва,NaN,NaN,NaN,hh.ru
1219,Инженер по тестированию мобильных приложений,https://korolev.hh.ru/vacancy/33948493?query=python, ВКонтакте,NaN,NaN,NaN,hh.ru
1220,Разработчик Python (desktop приложения),https://korolev.hh.ru/vacancy/36855583?query=python, МойОфис,NaN,NaN,NaN,hh.ru
1221,Разработчик драйверов Linux,https://korolev.hh.ru/vacancy/37038931?query=python, НТЦ Метротек,120000,NaN,руб.,hh.ru
1222,Python-разработчик,https://korolev.hh.ru/vacancy/37029928?query=python, Noveo,NaN,NaN,NaN,hh.ru
1223,Разработчик драйверов Linux (Junior),https://korolev.hh.ru/vacancy/37038929?query=python, НТЦ Метротек,,,,hh.ru
1224,Разработчик драйверов Linux,https://korolev.hh.ru/vacancy/37038923?query=python, НТЦ Метротек,140000,NaN,руб.,hh.ru
1225,Специалист по автоматизированному тестированию,https://korolev.hh.ru/vacancy/34983004?query=python, Открытая Мобильная Платформа,NaN,NaN,NaN,hh.ru
1226,Front-end разработчик React/TypeScript,https://korolev.hh.ru/vacancy/37038597?query=python, AGILE CODE,NaN,NaN,NaN,hh.ru
1227,Программист Python,https://korolev.hh.ru/vacancy/37024722?query=python," СимбирСофт,ООО",NaN,NaN,NaN,hh.ru
1228,Специалист по анализу данных,https://korolev.hh.ru/vacancy/37009347?query=python, Skillbox,NaN,NaN,NaN,hh.ru
1229,Data аналитик,https://korolev.hh.ru/vacancy/37036122?query=python, MANGO OFFICE,NaN,NaN,NaN,hh.ru
1230,Data Scientist (Computer Vision),https://korolev.hh.ru/vacancy/37030777?query=python,ЗАО ЛЕТА,NaN,NaN,NaN,hh.ru
1231,Программист (Python),https://korolev.hh.ru/vacancy/36885338?query=python,АО Ижевский радиозавод,NaN,NaN,NaN,hh.ru
1232,QA инженер (Автоматизированное тестирование),https://korolev.hh.ru/vacancy/29323728?query=python, МойОфис,NaN,NaN,NaN,hh.ru
1233,Senior Python Developer,https://korolev.hh.ru/vacancy/35414303?query=python, DataArt,NaN,NaN,NaN,hh.ru
